frame_index,time_start,rms,peak,energy,zero_crossings,dominant_frequency,spectral_centroid,spectral_spread
0,0.0,0.08640513747714147,0.4799174964427948,15.290056258444732,226,234.375,-0.8264337959750125,3331.4082594547112
1,0.042666666666666665,0.22909029330496944,1.0,107.4838783724686,89,292.96875,-0.2290640925310809,2887.346145819044
2,0.08533333333333333,0.2906851146684892,1.0,173.05156790237737,100,316.40625,-0.15130422825898324,2777.6989222786324
3,0.128,0.24540050012015074,0.7645883560180664,123.33343838048279,71,316.40625,-0.40621025919987036,2817.869650769496
4,0.17066666666666666,0.15746540822194324,0.5052434802055359,50.78088660275861,298,316.40625,-0.06780350127089742,4613.72277557636
5,0.21333333333333335,0.08115684578088607,0.3703891634941101,13.48901604782597,818,128.90625,-0.0039535988947065935,6078.22377700778
6,0.256,0.07050245157316051,0.25888732075691223,10.179779948187328,1053,4664.0625,-0.0308533999383973,6705.612326119447
7,0.2986666666666667,0.07025728728459067,0.26126521825790405,10.10910498117531,991,4558.59375,-0.05493932079596811,6393.915906172735
8,0.3413333333333333,0.17525287519676644,0.8975690603256226,62.90139190217399,583,503.90625,-0.2669655994758603,4145.553311430547
9,0.384,0.22986199375364189,0.8975690603256226,108.20922608107378,205,1417.96875,-0.15181665153033383,2584.4123163719582
10,0.4266666666666667,0.19460210053633556,0.858185887336731,77.55771398789949,174,562.5,-0.13975376875668763,2617.2557457340968
11,0.4693333333333333,0.1153513994295985,0.704317033290863,27.25057607755116,114,550.78125,-0.22641352864308031,2752.7205767621804
12,0.512,0.08405608975360435,0.5658971667289734,14.469992908115946,152,445.3125,-0.14782779130817933,2135.791533248575
13,0.5546666666666666,0.175953621712646,0.5831899642944336,63.40541848329612,139,410.15625,-0.19757157184438953,1937.4138763059775
14,0.5973333333333334,0.23653428838810944,0.6747345328330994,114.58246570653557,75,527.34375,-0.43239772707381313,2262.420496934549
15,0.64,0.20058024050771753,0.6747345328330994,82.39602254261003,69,515.625,-0.16513704164692763,1775.4746079706347
16,0.6826666666666666,0.09083935103702034,0.6121289730072021,16.899661203101715,60,468.75,-0.5941779194248218,2597.5176423535463
17,0.7253333333333334,0.031225203045805672,0.19083307683467865,1.9968272491556696,164,1476.5625,-0.4623115044969197,3724.0152229545465
18,0.768,0.16997908040398615,0.682786226272583,59.172634163168844,156,304.6875,-0.360133107544086,2673.9428622046407
19,0.8106666666666666,0.20257170988589387,0.682786226272583,84.04028957920207,50,304.6875,-0.08350372624198796,2031.9403684196054
20,0.8533333333333334,0.1224343778859659,0.46449488401412964,30.69988226728652,351,281.25,-0.7092978618267799,4783.262202665283
21,0.896,0.04830786725566999,0.2307022362947464,4.779315279444854,879,105.46875,-0.09148324989346744,6081.153528074372
22,0.9386666666666666,0.05804939323533566,0.5089401602745056,6.901211248620816,850,421.875,-0.4425146030744136,5028.072549263412
23,0.9813333333333333,0.13542120245170777,0.6769101023674011,37.55807144645923,347,398.4375,-0.014003379168409831,3104.1066961413744
24,1.024,0.12441642385293061,0.6769101023674011,31.70190648187306,109,398.4375,-0.04719646391086376,2241.0732097412265
25,1.0666666666666667,0.04207935882510884,0.3024112582206726,3.6263371553428794,129,445.3125,-0.2550181218203077,2035.0962103788106
26,1.1093333333333333,0.10322265477555626,0.35422807931900024,21.821268907855192,101,234.375,-0.14417397307666902,1791.6590552248517
27,1.152,0.17963842925639578,0.7084451913833618,66.08888886416406,69,527.34375,-0.2597397137955005,2070.9645360783193
28,1.1946666666666668,0.23373282481373547,0.7854946255683899,111.88435639379631,87,515.625,-0.46504991268667223,2588.185799178809
29,1.2373333333333334,0.2289753524902131,0.7854946255683899,107.37605027433952,114,656.25,-0.028199598935355986,2081.083941458812
30,1.28,0.17495914072237506,0.7347896099090576,62.69071548889465,124,656.25,-0.44188528243876,2637.7372187221345
31,1.3226666666666667,0.1028438741477602,0.5866501927375793,21.66141429702725,422,128.90625,-0.36986242490915217,4283.446168511913
32,1.3653333333333333,0.05235289452840908,0.19498008489608765,5.613210758149581,803,117.1875,-0.052622773013277474,5942.033285502546
33,1.408,0.04297478045114069,0.19498008489608765,3.7823114338790282,916,4582.03125,-0.16827712708775172,5988.919499856288
34,1.4506666666666668,0.016192643987514126,0.08457518368959427,0.5369891211394607,904,3140.625,-0.15321814625678298,5629.336821568878
35,1.4933333333333334,0.1537470359273788,0.7706056237220764,48.41093336361923,483,550.78125,-0.18935490594683485,2188.475119028802
36,1.536,0.17652857348425605,0.7706056237220764,63.82046670107931,104,199.21875,-0.05933796668608099,1632.6982423159131
37,1.5786666666666667,0.11358395680458505,0.5348517894744873,26.421893618454206,66,187.5,-0.07573166272960666,1707.9363411087975
38,1.6213333333333333,0.07731253257412057,0.3494437634944916,12.241362315314083,91,175.78125,-0.4239638567611467,2279.5482610127056
39,1.664,0.042124644641017076,0.21180325746536255,3.6341466851982713,383,152.34375,-0.28774003572812595,4389.472262123188
40,1.7066666666666668,0.04721016834731768,0.21180325746536255,4.564582390542492,612,3164.0625,-0.21365942336445623,4754.263918587161
41,1.7493333333333334,0.10980923850071729,0.7088715434074402,24.694925025499984,345,164.0625,-0.03067837355347581,3451.7146522965263
42,1.792,0.12022469311825977,0.7088715434074402,29.601744558857707,69,164.0625,-0.25829816412483,2157.9134628556353
43,1.8346666666666667,0.08124915133938018,0.30642327666282654,13.519717567220743,46,152.34375,-0.07212298438717343,1608.8202210404052
44,1.8773333333333333,0.05563589251342006,0.25118324160575867,6.339281993246373,460,152.34375,-0.13850814930427893,3212.7838306233
45,1.92,0.052611152709596,0.5908785462379456,5.668727581557619,685,433.59375,-0.08977104404380923,3373.1603832038454
46,1.9626666666666666,0.11152998646728864,0.6369544863700867,25.474944781094067,295,492.1875,-0.035884003073141844,2456.381070826995
47,2.005333333333333,0.0986596079690778,0.6369544863700867,19.934654964965624,62,492.1875,-0.005493733504850965,1252.3497891581203
48,2.048,0.029343776481699047,0.20937149226665497,1.7634451828898081,135,1570.3125,-0.3408109571248267,3250.3540260956183
49,2.0906666666666665,0.12028541295979416,0.6658920049667358,29.631653009220024,152,222.65625,-0.8336257940767612,3059.6630119690008
50,2.1333333333333333,0.1483093963965068,0.6658920049667358,45.047146617848185,48,210.9375,-0.04214999197414478,1565.606465630119
51,2.176,0.09214593613537916,0.49178794026374817,17.389309022751487,50,199.21875,-1.2730249390817432,3584.7128908042832
52,2.2186666666666666,0.025832209473968606,0.1042805016040802,1.3666366388367224,251,152.34375,-0.4725269209423392,3968.0205377409097
53,2.2613333333333334,0.12072447646465052,0.8119141459465027,29.848369597775786,355,304.6875,-0.04618216133248348,2989.061317702633
54,2.304,0.21615858335573843,0.8119141459465027,95.69184390832069,174,304.6875,-0.46104895025049414,2888.8300758011883
55,2.3466666666666667,0.20499262119199546,0.787742018699646,86.06100427400182,87,304.6875,-0.1064916775312401,2284.8134216223407
56,2.3893333333333335,0.18546584036495833,0.723590612411499,70.44623962578987,104,386.71875,-0.242585758463727,2524.114241730165
57,2.432,0.1918631252065321,0.723590612411499,75.38986765110766,94,375.0,-0.2623043521427387,2575.4580174936837
58,2.474666666666667,0.1508767965639176,0.582700788974762,46.62027825436626,65,234.375,-0.4510761398953385,2570.290253655572
59,2.517333333333333,0.16781782239439452,0.7712124586105347,57.677458459026525,68,222.65625,-0.08829074786171218,2498.9223369883903
60,2.56,0.17720524875552382,0.7712124586105347,64.3106819819665,91,328.125,-0.16072999420347828,2830.348598656595
61,2.6026666666666665,0.14779042672457873,0.6884605884552002,44.73243695397495,99,421.875,-0.28622848413546015,2795.080100194305
62,2.6453333333333333,0.1346756413034458,0.6892104148864746,37.145658082292535,125,539.0625,-0.5097267779668123,2654.3016887227377
63,2.688,0.1767045785393636,0.7734016180038452,63.9477925412334,157,843.75,-0.012318331083215402,2213.5341831942915
64,2.7306666666666666,0.17780571654780325,0.7734016180038452,64.74725957033523,156,855.46875,-0.3257916041662932,2612.367426550464
65,2.7733333333333334,0.10455165006168891,0.6721886396408081,22.38678534271356,139,855.46875,-0.031419957288440103,2257.466992800725
66,2.816,0.003070523308707114,0.027962742373347282,0.01930877622131442,212,175.78125,-0.5582536495459696,2927.83138090453
67,2.8586666666666667,0.02973667347522622,0.2527925372123718,1.8109844467143121,324,363.28125,-0.09371657353503253,3264.878494534647
68,2.9013333333333335,0.12811614010993758,0.6107803583145142,33.61535049045843,208,468.75,-0.128347063412352,2220.1329351153386
69,2.944,0.1597898027733708,0.6107803583145142,52.2911356320824,53,210.9375,-0.6107013164847431,2621.1024991651857
70,2.986666666666667,0.14797545268155649,0.5280119180679321,44.84451245324608,58,222.65625,-0.04694547207957692,1564.8279837320547
71,3.029333333333333,0.1442853305330564,0.5280119180679321,42.63578953120427,58,210.9375,-0.22809966545893223,1901.4108848741446
72,3.072,0.12692250986556547,0.5047165751457214,32.991894549656706,42,199.21875,-0.15734888069799494,1722.0234335448324
